Source,Target
Similarity,SignatureMatchesPerDay
SignatureMatchesPerDay,SCAS
SignatureMatchesPerDay,SignatureID
SignatureMatchesPerDay,SignatureIDSimilarity
SignatureMatchesPerDay,Proto
SignatureMatchesPerDay,AlertCount
SignatureMatchesPerDay,ProtoSimilarity
Similarity,SignatureMatchesPerDay
Similarity,SCAS
Similarity,SignatureIDSimilarity
Similarity,Proto
Similarity,ExtPort
Similarity,ProtoSimilarity
SignatureMatchesPerDay,SCAS
Similarity,SCAS
SignatureIDSimilarity,SCAS
Proto,SCAS
SignatureMatchesPerDay,SignatureID
SignatureID,Proto
SignatureID,IntPort
SignatureID,ExtPort
SignatureMatchesPerDay,SignatureIDSimilarity
Similarity,SignatureIDSimilarity
SignatureIDSimilarity,SCAS
SignatureIDSimilarity,Proto
SignatureIDSimilarity,AlertCount
SignatureIDSimilarity,IntPort
SignatureMatchesPerDay,Proto
Similarity,Proto
Proto,SCAS
SignatureID,Proto
SignatureIDSimilarity,Proto
Proto,IntPort
SignatureMatchesPerDay,AlertCount
SignatureIDSimilarity,AlertCount
SignatureID,IntPort
SignatureIDSimilarity,IntPort
Proto,IntPort
Similarity,ExtPort
SignatureID,ExtPort
SignatureMatchesPerDay,ProtoSimilarity
Similarity,ProtoSimilarity
